"seed.plotcode","species","nsamples","growth1","growth2","growth3","growth4","browse1","browse2","browse3","browse4"
22,1,1,10.2,NA,NA,NA,0,NA,NA,NA
22,0,1,4.09999999999999,NA,NA,NA,0,NA,NA,NA
22,1,1,4.4,NA,NA,NA,0,NA,NA,NA
22,1,1,-0.600000000000001,NA,NA,NA,0,NA,NA,NA
23,1,1,4.3,0,4.7,3.3,0,1,1,0
23,1,4,2.5,2.1,1.9,7.9,1,0,1,0
23,0,4,1.1,3.59999999999999,5.40000000000001,8,1,0,1,0
23,1,1,0.199999999999996,NA,NA,NA,1,NA,NA,NA
23,1,1,1.2,NA,NA,2.3,0,NA,0,0
23,0,4,12.5,5.7,0.799999999999997,15.4,1,0,1,0
23,1,1,0.700000000000003,NA,NA,18,1,NA,0,0
23,0,1,1.2,NA,NA,NA,0,NA,0,NA
23,1,1,3,NA,NA,2.6,1,NA,NA,0
23,0,1,0.299999999999997,NA,NA,0,0,NA,0,0
23,1,1,-1.2,NA,NA,NA,1,NA,NA,NA
24,0,4,5.8,-59.9,15.8,12,0,1,0,0
24,1,4,10.3,-2,-1.1,24.6,0,1,1,0
24,0,4,2.89999999999999,5.80000000000001,7.39999999999999,27.2,0,1,0,0
24,0,1,4.6,NA,NA,6.5,0,NA,NA,NA
24,0,4,5.3,1.90000000000001,14.3,11.5,0,0,0,0
24,0,2,1.4,1.9,NA,NA,0,0,NA,NA
25,1,4,-0.899999999999999,14.1,15,22.5,0,0,0,0
25,0,4,0.100000000000001,2.3,0.100000000000001,27.3,0,0,0,0
25,1,4,0.5,6.8,12.1,-27.9,0,0,0,0
25,0,1,0.700000000000003,NA,NA,NA,0,NA,NA,NA
25,0,4,1.09999999999999,3.59999999999999,16.9,-4.2,0,0,0,0
25,1,4,2.1,2.1,5.5,20,0,0,0,0
25,1,4,2,3.4,1.7,5.3,0,0,0,0
25,0,1,2.6,NA,NA,NA,0,NA,NA,NA
26,1,3,1.9,0.399999999999999,6.6,NA,0,1,0,NA
26,1,1,4.2,NA,NA,NA,0,NA,0,NA
26,0,1,1.6,NA,NA,NA,0,NA,0,NA
26,1,1,4.2,NA,NA,NA,0,NA,NA,NA
26,0,1,2.8,NA,NA,NA,0,NA,NA,NA
26,1,1,1.9,NA,NA,13,0,NA,0,0
26,0,4,1.09999999999999,4.90000000000001,2.09999999999999,-0.299999999999997,0,0,0,0
27,1,1,3.1,NA,NA,NA,1,NA,NA,NA
27,0,4,2.7,1.8,1.4,0.600000000000001,0,0,0,0
28,1,4,2.3,4,11,1.5,0,0,0,0
28,0,4,1.59999999999999,7.40000000000001,0.599999999999994,13,0,0,0,0
28,0,3,4.40000000000001,1.59999999999999,1.5,NA,0,0,0,NA
28,1,4,2.9,4.1,2.9,9.4,0,0,1,0
28,1,4,0.899999999999999,5.6,-2.1,4.5,0,0,1,1
28,0,1,0.799999999999997,NA,NA,NA,0,NA,NA,NA
28,1,1,1.2,NA,NA,NA,0,NA,NA,NA
28,1,4,2.4,9.1,4.1,3.5,0,0,0,0
28,1,1,3.3,NA,NA,NA,1,NA,NA,NA
29,1,1,4.2,NA,NA,NA,0,NA,NA,NA
29,0,1,0.799999999999997,NA,NA,NA,0,NA,NA,NA
29,1,1,1.1,NA,NA,NA,0,NA,NA,NA
29,0,1,1.7,NA,NA,NA,0,NA,NA,NA
29,1,1,-0.5,NA,NA,NA,0,NA,NA,NA
29,0,1,8.5,NA,NA,NA,0,NA,NA,NA
30,0,1,0.800000000000004,NA,NA,NA,0,0,NA,NA
30,1,2,0.5,0.100000000000001,NA,NA,0,0,NA,NA
30,1,1,3,NA,NA,NA,0,NA,NA,NA
30,0,1,7.9,0,-19.9,17.5,0,0,0,0
30,0,3,0.100000000000001,2.2,-3.8,NA,0,0,0,NA
30,1,1,1.9,NA,NA,NA,0,NA,NA,NA
30,1,1,0.899999999999999,NA,NA,NA,0,NA,NA,NA
31,0,1,0.600000000000001,NA,NA,NA,1,NA,NA,NA
31,1,4,1.2,0.200000000000003,-16.5,17,1,1,0,0
31,1,1,3.8,NA,NA,-0.5,0,NA,NA,0
31,0,1,0.799999999999997,NA,NA,NA,1,NA,NA,NA
32,0,4,1,0.5,2,-0.600000000000001,0,0,0,0
32,1,2,1.3,0.399999999999999,NA,NA,0,0,NA,NA
32,1,1,0.5,NA,NA,NA,1,NA,NA,NA
32,0,1,-1.6,NA,NA,NA,0,NA,NA,NA
32,0,1,-1.9,NA,NA,NA,0,NA,NA,NA
32,1,1,1.5,NA,NA,NA,0,NA,NA,NA
51,1,4,0.899999999999999,1.5,1.4,-0.299999999999997,0,0,0,0
51,1,3,0.299999999999997,1.8,2.40000000000001,NA,0,0,0,NA
51,1,3,3,11.8,2,0,0,0,0,0
51,1,1,0.800000000000004,NA,NA,NA,0,NA,NA,NA
52,1,3,2.1,9.3,0.5,0,0,1,1,1
52,1,4,3.7,0.5,-11,12,1,0,1,1
52,1,3,1.3,1.2,-0.5,0,0,1,1,0
33,1,4,6.8,16.6,14,82.5,0,0,0,0
33,1,4,-1.4,16.1,31,50.5,0,0,0,0
33,1,4,3,2.9,26.1,79.1,0,0,0,0
33,0,1,-1.5,NA,NA,NA,0,NA,NA,NA
33,1,4,-2.3,1.89999999999999,34.3,109.9,0,0,0,0
33,0,4,2.5,4.2,10.6,23.5,0,0,0,0
