"x"
0.0125
0.8625
0.01
NA
0.06
0.0175
0.03
0.305
0.23
0.7575
0.2925
0.405
0.935
0.9325
0.9275
0.9525
0.04
0.4325
0.065
0.0575
0
0.0475
0.0025
0
0.0725
0.485
0.1575
0.05
0.9125
0.9075
0.9175
0.91
0.03
0.02
0.06
0.0025
0.1175
0.0175
0.015
0.0175
0.6175
0.73
0.9475
0.875
0.9225
0.9325
0.9225
0.9425
0.7775
0.9125
0.88
0.8525
0.8525
0.8875
