"unit","treecode","species","height","dbh","volume","llc","N","NE","E","SE","S","SW","W","NW","length","crownarea","edge","shelter","syr1","syr2","syr3","syr4","syr5","syr6","mast1","mast2","mast3","mast4","mast5","mast6"
5,53,1,42.5,61.468,2386.278413,18.3,7.4,9.8,8.2,7.8,5.8,5.5,8.2,10.4,24.2,177.24338577222,0,0,1,2,3,4,5,6,13,0,33,0,31,0
5,54,0,29.2,43.18,713.6489948,12.9,4.4,4.6,3.9,6.9,4.3,6,3.7,7.3,16.3,71.378894026876,0,0,1,2,3,4,5,6,1,7,0,0,7,6
5,55,1,26.7,55.372,821.816448,10.2,5.5,5,7.2,7.1,7,8.3,4.2,5.3,16.5,109.138396142238,0,0,1,2,3,4,5,6,2,0,2,0,1,0
5,56,0,34.4,54.61,2239.771125,18.2,7.5,6.1,7.3,8.3,7.1,8.3,8.5,8.2,16.2,166.339799206323,0,0,1,2,3,4,5,6,9,1,1,0,19,0
5,57,1,27.4,36.068,810.9998435,15.4,6.4,6,4.3,4.9,5.5,5.6,4.6,2.8,12,70.5621856946056,0,0,1,2,3,4,5,6,0,0,3,0,1,0
5,58,0,33.3,35.56,1259.987868,21.2,5.2,3.9,5.2,4.6,6.3,5.4,6,6,12.1,80.2849039359206,0,0,1,2,3,4,5,6,0,6,0,0,0,3
5,59,1,27.5,36.83,577.769474,16.6,6.1,2.8,3.4,3.9,5.7,3.4,3.3,4,10.9,46.0644712603976,0,0,1,2,3,4,5,6,0,2,7,0,0,0
5,60,0,28.2,43.434,1303.873818,18.1,5.8,6.5,5.5,6.3,5.8,7.3,5.3,4.4,10.1,97.0539412517596,0,0,1,2,3,4,5,6,1,2,0,0,3,16
5,61,1,33.5,43.688,727.8256838,16.5,4.4,4.7,4.7,4.4,5.6,4.5,4.5,3.9,17,59.4853579673183,0,0,1,2,3,4,5,6,0,2,5,0,5,0
6,62,1,31.7,35.814,479.24385,17.4,2.8,3.5,3.3,3.6,3.9,3.7,3.3,4.9,14.3,36.6988419435818,0,1,1,2,3,4,5,6,0,0,0,0,0,2
6,63,0,30.9,35.052,620.8876,16.4,4.9,3.6,3.2,2.4,5,4.8,4.2,5.9,14.5,51.8627468661273,0,1,1,2,3,4,5,6,0,0,0,1,2,0
6,64,1,20.2,29.464,277.967328,13.8,2.4,2.6,3.1,2.1,2.3,3.1,4.4,4.8,6.4,27.9483955263983,0,1,1,2,3,4,5,6,0,1,0,0,0,0
6,65,0,21.3,35.052,376.493607,13.3,5.9,2.9,3.3,3.8,4.1,3.3,2.6,3.5,8,37.7100046406786,0,1,1,2,3,4,5,6,1,0,0,0,1,0
6,66,0,30.3,40.386,380.3969813,14.3,4,3.3,2.6,4.2,4.3,2.3,4.5,3.3,16,35.0194633382638,0,1,1,2,3,4,5,6,0,3,0,4,28,0
6,67,1,26.9,49.784,1083.048231,16.7,6.2,6.3,5.3,3.8,6.5,3.5,5.9,7,10.2,86.7584665176834,0,1,1,2,3,4,5,6,3,0,1,0,0,6
6,68,0,33.4,59.69,1335.200208,18.3,4,6.9,6.1,4.7,3.9,5.7,9,6.9,15.1,98.9666650948692,0,1,1,2,3,4,5,6,0,2,0,0,0,0
6,69,1,26.5,40.64,232.020126,10.4,3.4,3.1,3,3.5,3.6,3.3,3,3.2,16.1,30.1227488785469,0,1,1,2,3,4,5,6,0,2,3,0,3,0
6,70,0,27.4,42.926,699.139664,15.1,4.1,4.4,6.1,3.7,2.9,6.8,4.6,5,12.3,61.0515994876465,0,0,1,2,3,4,5,6,0,5,0,1,2,1
6,71,1,33.2,57.15,1083.351267,19.3,5.3,5,4.2,7.5,4.7,4,5.3,5.4,13.9,74.7730065765715,0,0,1,2,3,4,5,6,3,1,2,1,6,0
6,72,1,31.1,35.814,265.543812,10.8,3.4,4.3,3.1,2.5,3.7,3.9,3.4,3.1,20.3,33.1350237664016,0,1,1,2,3,4,5,6,0,3,0,0,0,13
6,73,0,32.2,38.862,374.578911,18.9,2.7,4.1,2.7,3.4,3.7,2.7,2.8,2.5,13.3,26.5872149726142,0,1,1,2,3,4,5,6,0,0,0,0,0,0
6,74,1,33.5,64.516,2244.390512,20.8,6.7,5.7,8.2,4.6,7.1,10.1,7.9,7.1,12.7,145.123060236821,0,1,1,2,3,4,5,6,0,20,1,0,14,9
6,75,0,24.9,27.686,307.8728595,13.8,2.6,3.6,3.3,3.1,2.7,3.8,3.2,3.8,11.1,29.804550827013,0,1,1,2,3,4,5,6,0,0,0,2,0,0
6,76,0,32.2,46.736,442.375603,13.7,6.1,3.7,2.6,3.4,4.7,2.3,2.8,5.8,18.5,44.5053008078813,0,0,1,2,3,4,5,6,0,0,0,5,3,0
6,77,1,25.6,33.782,329.1182758,15.7,4.1,4,2.8,2.5,3.5,3.4,2.7,2.3,9.9,28.3090199848034,0,0,1,2,3,4,5,6,0,6,0,3,0,0
7,78,1,33.5,50.546,2117.454525,19.9,7.6,7,6.6,7.2,7.8,6.3,6.6,7.9,13.6,143.535605513057,0,0,1,2,4,5,6,NA,1,0,1.61,0,4,0
7,79,0,26.1,45.72,730.4420813,17.5,5.5,5.7,3.9,3.6,3.8,4.1,3.8,5.3,8.6,57.187260928462,0,0,1,2,4,5,6,NA,1,6,1.61,0,0,0
7,80,1,20.2,31.242,941.5625,11.5,5.8,6.8,5.3,6.8,5.9,6.1,5.3,8,8.7,109.163144879579,0,0,1,2,4,5,6,NA,5,1,1.61,0,1,2
